slug,status,amazonUrl,flipkartUrl
narzo-100-lite,dry-run,,https://www.flipkart.com/realme-narzo-100-lite-5g-thunder-black-128-gb/p/itm659398bfe469c?pid=MOBHMZ3TERMJ7F2Z&lid=LSTMOBHMZ3TERMJ7F2ZZKJ05Z&marketplace=FLIPKART&q=Realme+Narzo+100+Lite&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=da7cd1a7-b82c-437a-ba2e-652e24143a55.MOBHMZ3TERMJ7F2Z.SEARCH&ppt=sp&ppn=sp&ssid=kkvxkffeao0000001783251492018&qH=fbed21569c83e6a8
narzo-80-lite,dry-run,,https://www.flipkart.com/realme-narzo-80-lite-beach-gold-64-gb/p/itmda40eecbc001f
narzo-90x,dry-run,,https://www.flipkart.com/realme-narzo-90x-5g-flash-blue-128-gb/p/itma63c5c5ce781a
narzo-90,dry-run,,https://www.flipkart.com/realme-90x-5g-flash-blue-128-gb/p/itm6d58bc292ef4d
narzo-n53,dry-run,,https://www.flipkart.com/realme-narzo-n53-feather-black-64-gb/p/itm3061a0a591574
narzo-power,dry-run,,https://www.flipkart.com/realme-narzo-power-5g-titan-silver-256-gb/p/itmb7d628c2b23a9?pid=MOBHHGXKCXGCXUWD&lid=LSTMOBHHGXKCXGCXUWDX0GHAJ&marketplace=FLIPKART&q=Realme+Narzo+Power&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=e678c0ed-939f-42ec-bf7e-93305551d0f0.MOBHHGXKCXGCXUWD.SEARCH&ppt=sp&ppn=sp&ssid=ih3y22i08g0000001783251511748&qH=b479d012feb632c6
pixel-10a,dry-run,https://www.amazon.in/Google-Pixel-10a-256GB-Storage/dp/B0GP8SY9MB,https://www.flipkart.com/google-pixel-10a-lavender-256-gb/p/itmba3073a0f391e
pixel-10,dry-run,https://www.amazon.in/Google-Pixel-Obsidian-256GB-Storage/dp/B0FNPNL2D8,https://www.flipkart.com/google-pixel-10-frost-256-gb/p/itm180af25bcc197
airpods-4,dry-run,,https://www.flipkart.com/apple-airpods-4-wireless-earbuds-personalised-spatial-audio-sweat-water-resistant-bluetooth/p/itmdf102348be4b9
infinix-gt-30-pro,dry-run,https://www.amazon.in/Infinix-Storage-MediaTek-Ultimate-Triggers/dp/B0FD7446KW,https://www.flipkart.com/infinix-gt-30-pro-5g-dark-flare-256-gb/p/itmd4bc1852572b9
infinix-gt-30,dry-run,https://www.amazon.in/dp/B0FMRQ8KHV,https://www.flipkart.com/infinix-gt-30-5g-cyber-blue-128-cyber-blue-gb/p/itmcda81613113c6
infinix-note-edge,dry-run,,https://www.flipkart.com/infinix-note-edge-silk-green-128-gb/p/itmab2876405a1ab
infinix-smart-20,dry-run,,https://www.flipkart.com/infinix-smart-20-sunlike-orange-128-gb/p/itmf761cd49f9162?pid=MOBHNMEEFAWCYC5E&lid=LSTMOBHNMEEFAWCYC5EUPDPZ1&marketplace=FLIPKART&q=Infinix+Smart+20&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=4e5afada-8766-42ae-8d6e-131b4eb9f9e9.MOBHNMEEFAWCYC5E.SEARCH&ppt=sp&ppn=sp&ssid=imlqvm95wg0000001783251528504&qH=fbcf758b23543337
infinix-smart-10,dry-run,https://www.amazon.in/Infinix-Smart-10-Iris-Blue/dp/B0FNXC7YT7,https://www.flipkart.com/infinix-smart-10-titanium-silver-64-gb/p/itm0bde9cee1963a
hmd-vibe-2,dry-run,,https://www.flipkart.com/hmd-vibe2-5g-cosmic-lavender-64-gb/p/itm71c3ae6df2a26
